Open,High,Low,Close,Adj Close,Volume
86.12999725341797,86.30999755859375,85.5,85.94999694824219,80.56206512451172,22483800
86.05999755859375,86.51000213623047,85.97000122070312,86.3499984741211,80.93697357177734,26061400
86.58999633789062,87.66000366210938,86.56999969482422,87.11000061035156,81.64934539794922,21912000
87.66000366210938,88.41000366210938,87.43000030517578,88.19000244140625,82.66163635253906,23407100
88.19999694824219,88.58000183105469,87.5999984741211,88.27999877929688,82.74600982666016,22113000
88.6500015258789,88.7300033569336,87.86000061035156,88.22000122070312,82.68976593017578,19484300
87.86000061035156,88.19000244140625,87.41000366210938,87.81999969482422,82.31482696533203,18652200
88.12999725341797,88.12999725341797,87.23999786376953,88.08000183105469,82.55854034423828,17808900
88.66999816894531,89.77999877929688,88.44999694824219,89.5999984741211,83.98324584960938,24271500
90.0999984741211,90.79000091552734,88.01000213623047,88.3499984741211,82.81161499023438,36599700
89.08000183105469,90.27999877929688,88.75,90.13999938964844,84.48941040039062,25621200
89.80000305175781,90.66999816894531,89.66000366210938,90.0999984741211,84.45189666748047,24159700
90.13999938964844,90.61000061035156,89.66000366210938,90.0,84.3581771850586,36875000
90.0,91.62000274658203,89.73999786376953,91.61000061035156,85.86724853515625,23601600
91.9000015258789,92.30000305175781,91.54000091552734,91.9000015258789,86.13908386230469,23412800
92.55000305175781,93.43000030517578,91.58000183105469,91.81999969482422,86.06409454345703,33277500
92.47000122070312,93.23999786376953,91.93000030517578,92.33000183105469,86.5421142578125,26383200
93.12000274658203,94.05999755859375,92.58000183105469,94.05999755859375,88.16365051269531,29172200
95.13999938964844,95.44999694824219,93.72000122070312,93.91999816894531,88.03244018554688,31569900
93.30000305175781,93.66000366210938,92.0999984741211,92.73999786376953,86.92640686035156,38635100
93.75,95.4000015258789,93.51000213623047,95.01000213623047,89.05411529541016,48756300
94.79000091552734,96.06999969482422,93.58000183105469,94.26000213623047,88.35113525390625,47227900
93.63999938964844,93.97000122070312,91.5,91.77999877929688,86.02656555175781,47867800
90.55999755859375,93.23999786376953,88.0,88.0,82.48353576660156,51031500
86.88999938964844,91.4800033569336,85.25,91.33000183105469,85.60479736328125,67998600
90.48999786376953,91.7699966430664,89.19999694824219,89.61000061035156,83.99261474609375,41107600
89.70999908447266,89.87999725341797,84.76000213623047,85.01000213623047,79.68099212646484,55628700
86.30000305175781,88.93000030517578,83.83000183105469,88.18000030517578,82.65225219726562,63499100
88.73999786376953,89.77999877929688,87.93000030517578,89.12999725341797,83.54269409179688,35720300
88.93000030517578,90.0,87.80000305175781,89.83000183105469,84.19880676269531,26407700
88.51000213623047,90.98999786376953,88.41000366210938,90.80999755859375,85.51722717285156,34960900
91.20999908447266,92.72000122070312,90.62000274658203,92.66000366210938,87.25939178466797,27823900
92.44999694824219,93.5,91.80000305175781,92.0,86.63787841796875,30596900
91.4800033569336,93.05999755859375,91.01000213623047,92.72000122070312,87.31592559814453,30911700
92.9800033569336,93.36000061035156,91.48999786376953,91.48999786376953,86.15760040283203,26922500
92.05000305175781,92.7300033569336,91.36000061035156,91.7300033569336,86.38360595703125,24392800
93.5999984741211,94.06999969482422,92.36000061035156,94.05999755859375,88.57779693603516,26329200
94.4000015258789,95.44999694824219,94.25,95.41999816894531,89.85853576660156,30199800
95.73999786376953,95.83999633789062,94.19999694824219,94.19999694824219,88.70964050292969,25869100
94.83999633789062,95.70999908447266,93.62999725341797,93.7699966430664,88.30469512939453,31167300
93.98999786376953,94.56999969482422,91.83999633789062,92.8499984741211,87.43832397460938,37135600
91.58000183105469,93.1500015258789,90.86000061035156,93.05000305175781,87.62667846679688,32830400
92.33999633789062,94.2699966430664,92.26000213623047,93.63999938964844,88.1822738647461,23901600
94.33999633789062,94.48999786376953,92.94000244140625,93.31999969482422,87.88093566894531,22175800
93.16000366210938,93.94000244140625,92.43000030517578,93.86000061035156,88.38948059082031,26716100
94.2699966430664,95.0999984741211,93.7699966430664,94.43000030517578,88.9262466430664,25887800
95.29000091552734,96.54000091552734,95.0,96.54000091552734,90.91326904296875,36937300
96.5,97.20999908447266,96.04000091552734,96.7699966430664,91.1298599243164,26073700
97.0,97.23999786376953,93.97000122070312,94.41000366210938,88.90740966796875,35387800
95.12000274658203,95.41000366210938,93.5,93.8499984741211,88.38004302978516,32132000
93.52999877929688,94.58000183105469,92.83000183105469,94.18000030517578,88.69081115722656,27611000
94.68000030517578,95.37999725341797,93.91999816894531,94.5999984741211,89.08633422851562,49081300
93.73999786376953,93.9000015258789,92.11000061035156,92.88999938964844,87.47599029541016,33344100
93.05000305175781,93.7699966430664,93.0,93.12999725341797,87.7020034790039,23075200
92.93000030517578,94.05000305175781,92.20999908447266,92.4800033569336,87.08991241455078,24457100
91.2699966430664,91.75,89.66000366210938,89.79000091552734,84.55667877197266,38604700
89.5,90.45999908447266,87.08000183105469,87.18000030517578,82.09880065917969,44068900
90.61000061035156,94.0,90.4000015258789,93.77999877929688,88.31413269042969,56396800
94.94000244140625,95.13999938964844,88.51000213623047,89.47000122070312,84.25533294677734,56569000
89.81999969482422,91.2300033569336,88.87000274658203,89.38999938964844,84.17999267578125,52501100
90.18000030517578,92.29000091552734,88.4000015258789,91.2699966430664,85.95040893554688,45867500
90.47000122070312,90.87999725341797,87.51000213623047,88.5199966430664,83.36071014404297,48515400
89.58000183105469,90.05000305175781,87.88999938964844,89.70999908447266,84.48133087158203,37213800
87.8499984741211,92.76000213623047,87.7300033569336,92.33000183105469,86.94864654541016,35560000
92.44000244140625,93.06999969482422,91.4000015258789,92.37999725341797,86.9957046508789,29771900
