Date,AAPL,MSFT,GOOGL,META,GOOG,NVDA,SPY,QQQ
2021-11-23,160.01263427734375,332.98150634765625,145.78199768066406,337.25,146.7570037841797,317.03790283203125,455.6645812988281,392.9207458496094
2021-11-24,160.53805541992188,333.2082824707031,146.1199951171875,341.05999755859375,146.71749877929688,326.3055725097656,456.88116455078125,394.18609619140625
2021-11-26,155.4524688720703,325.0927734375,142.18299865722656,333.1199951171875,142.80599975585938,314.6112060546875,446.6913146972656,386.7127685546875
2021-11-29,158.85275268554688,331.9460754394531,145.53050231933594,338.0299987792969,146.11399841308594,333.3162536621094,452.1706237792969,395.10540771484375
2021-11-30,163.8689727783203,325.9901428222656,141.8975067138672,324.4599914550781,142.45199584960938,326.3255615234375,443.37249755859375,389.3027648925781
2021-12-01,163.3435516357422,325.4872131347656,141.05149841308594,310.6000061035156,141.6179962158203,313.9704895019531,438.4478454589844,382.6795654296875
2021-12-02,162.34230041503906,324.9054870605469,142.96600341796875,310.3900146484375,143.77650451660156,320.8721923828125,445.16326904296875,385.43756103515625
2021-12-03,160.43890380859375,318.515625,142.00149536132812,306.8399963378906,142.52049255371094,306.5594787597656,441.2897644042969,378.73529052734375
2021-12-06,163.88880920410156,321.6513671875,143.15499877929688,317.8699951171875,143.79649353027344,300.00738525390625,446.51611328125,381.7701721191406
2021-12-07,169.6980438232422,330.2598876953125,147.26950073242188,322.80999755859375,148.0364990234375,323.8785095214844,455.7522277832031,393.26666259765625
2021-12-08,173.5642852783203,330.3092346191406,148.18649291992188,330.55999755859375,148.7205047607422,317.87579345703125,456.958984375,395.0262451171875
2021-12-09,173.04879760742188,328.4652404785156,147.6385040283203,329.82000732421875,148.1060028076172,304.5318908691406,453.8738708496094,389.2137756347656
2021-12-10,177.89646911621094,337.77392578125,148.00149536132812,329.75,148.6750030517578,301.6154479980469,458.1463623046875,393.44464111328125
2021-12-13,174.21856689453125,334.67755126953125,145.82650756835938,334.489990234375,146.70449829101562,281.2699890136719,454.08795166015625,387.7606506347656
2021-12-14,172.82078552246094,323.771484375,143.90699768066406,333.739990234375,144.9705047607422,283.02789306640625,450.96380615234375,383.7471618652344
2021-12-15,177.7477569580078,329.9936828613281,146.4409942626953,341.6600036621094,147.36849975585938,304.2222900390625,458.0101013183594,392.4956359863281
2021-12-16,170.76869201660156,320.37933349609375,144.44500732421875,334.8999938964844,144.8385009765625,283.52728271484375,453.97119140625,382.4028015136719
2021-12-17,169.65841674804688,319.29461669921875,141.72500610351562,333.7900085449219,142.80299377441406,277.6744384765625,449.1396179199219,380.4949035644531
2021-12-20,168.2804412841797,315.458740234375,141.60699462890625,325.45001220703125,142.40150451660156,276.8553161621094,444.3637390136719,376.8039855957031
2021-12-21,171.4923858642578,322.736083984375,143.47250366210938,334.20001220703125,144.2205047607422,290.39898681640625,452.25518798828125,385.2369689941406
2021-12-22,174.11944580078125,328.5638427734375,146.4149932861328,330.45001220703125,146.94900512695312,293.6451110839844,456.77716064453125,389.9286193847656
2021-12-23,174.75392150878906,330.0331115722656,146.91650390625,335.239990234375,147.1425018310547,296.0421447753906,459.61920166015625,392.8682861328125
2021-12-27,178.76885986328125,337.6851501464844,147.906494140625,346.17999267578125,148.06399536132812,309.076416015625,466.12384033203125,399.3613586425781
2021-12-28,177.7378387451172,336.5018005371094,146.68699645996094,346.2200012207031,146.447998046875,302.8539123535156,465.742919921875,397.5104064941406
2021-12-29,177.8270721435547,337.19207763671875,146.65499877929688,342.94000244140625,146.50450134277344,299.6477966308594,466.3387145996094,397.4510192871094
2021-12-30,176.65728759765625,334.5986633300781,146.20050048828125,344.3599853515625,146.00250244140625,295.5028076171875,465.04949951171875,396.2632751464844
2021-12-31,176.03274536132812,331.64044189453125,144.8520050048828,336.3500061035156,144.67950439453125,293.75494384765625,463.87750244140625,393.788818359375
2022-01-03,180.43429565429688,330.09228515625,144.9915008544922,338.5400085449219,145.07449340820312,300.8463439941406,466.5633544921875,397.5797119140625
2022-01-04,178.14430236816406,324.4321594238281,144.39950561523438,336.5299987792969,144.41650390625,292.54638671875,466.40704345703125,392.4228820800781
2022-01-05,173.40570068359375,311.9778747558594,137.77499389648438,324.1700134277344,137.65350341796875,275.70672607421875,457.4510803222656,380.36724853515625
2022-01-06,170.51095581054688,309.51263427734375,137.74749755859375,332.4599914550781,137.55099487304688,281.4398498535156,457.0212707519531,380.0999755859375
2022-01-07,170.6794891357422,309.6704406738281,137.01699829101562,331.7900085449219,137.00450134277344,272.14105224609375,455.2144470214844,375.982421875
2022-01-10,170.69931030273438,309.8972473144531,138.66949462890625,328.07000732421875,138.57400512695312,273.669189453125,454.6479797363281,376.2298889160156
2022-01-11,173.5642852783203,310.5973815917969,139.73599243164062,334.3699951171875,140.0175018310547,277.8341979980469,458.7890625,381.881591796875
2022-01-12,174.0103759765625,313.841552734375,141.4304962158203,333.260009765625,141.6479949951172,279.6519775390625,460.0294494628906,383.3959655761719
2022-01-13,170.69931030273438,300.5589904785156,138.58700561523438,326.4800109863281,139.13099670410156,265.42913818359375,453.6908874511719,373.804931640625
2022-01-14,171.5717315673828,305.8838806152344,139.48049926757812,331.8999938964844,139.7864990234375,269.09478759765625,453.8764343261719,376.1308898925781
2022-01-18,168.3300018310547,298.43890380859375,135.9980010986328,318.1499938964844,136.29049682617188,258.7173156738281,445.8384094238281,366.7674255371094
2022-01-19,164.79090881347656,299.10943603515625,135.1165008544922,319.5899963378906,135.65199279785156,250.3673858642578,441.2090759277344,362.7390441894531
2022-01-20,163.08578491210938,297.4035339355469,133.3074951171875,316.55999755859375,133.50650024414062,241.20846557617188,436.32574462890625,358.027587890625
2022-01-21,161.0039825439453,291.9110412597656,130.35150146484375,303.1700134277344,130.0919952392578,233.4578399658203,427.7603759765625,348.1000061035156
2022-01-24,160.2208251953125,292.24627685546875,130.8040008544922,308.7099914550781,130.3719940185547,233.43785095214844,429.5769348144531,349.6935119628906
2022-01-25,158.39674377441406,284.4759216308594,126.93499755859375,300.1499938964844,126.7354965209961,222.9705047607422,424.332275390625,341.587158203125
2022-01-26,158.30752563476562,292.5815734863281,129.23300170898438,294.6300048828125,129.24000549316406,227.4451141357422,423.2677001953125,341.05267333984375
2022-01-27,157.8415985107422,295.66796875,129.0050048828125,294.6400146484375,129.12100219726562,219.17507934570312,421.1776428222656,337.61810302734375
2022-01-28,168.85540771484375,303.9708557128906,133.3509979248047,301.7099914550781,133.2895050048828,228.12423706054688,431.6377258300781,348.2088928222656
2022-01-31,173.26687622070312,306.6529846191406,135.30349731445312,313.260009765625,135.69850158691406,244.56439208984375,439.4120178222656,359.3440246582031
2022-02-01,173.09837341308594,304.4638977050781,137.6439971923828,319.0,137.8784942626953,246.08258056640625,442.381103515625,361.788818359375
2022-02-02,174.31768798828125,309.0984802246094,148.0,323.0,148.0364990234375,252.1152801513672,446.67840576171875,364.728515625
2022-02-03,171.4031524658203,297.05841064453125,143.08999633789062,237.75999450683594,142.65049743652344,239.19090270996094,436.17926025390625,349.9410400390625
2022-02-04,171.1153106689453,301.6831359863281,143.29299926757812,237.08999633789062,143.01600646972656,242.89639282226562,438.230224609375,354.3554992675781
2022-02-07,170.39073181152344,296.7625732421875,139.2010040283203,224.91000366210938,138.93800354003906,246.98147583007812,436.8238220214844,351.5048828125
2022-02-08,173.53729248046875,300.3223571777344,139.3990020751953,220.17999267578125,139.21299743652344,250.77688598632812,440.4179992675781,355.45416259765625
2022-02-09,174.97654724121094,306.87982177734375,141.5919952392578,232.0,141.4530029296875,266.7275695800781,446.86395263671875,362.98651123046875
2022-02-10,170.84730529785156,298.17266845703125,138.6199951171875,228.07000732421875,138.6024932861328,257.9281921386719,438.8357849121094,354.7712097167969
2022-02-11,167.39303588867188,290.93475341796875,134.28250122070312,219.5500030517578,134.1300048828125,239.20089721679688,430.1824645996094,343.51727294921875
2022-02-14,167.6312713623047,290.8953552246094,135.5260009765625,217.6999969482422,135.3000030517578,242.37704467773438,428.7760925292969,343.9428405761719
2022-02-15,171.51234436035156,296.28924560546875,136.60850524902344,221.0,136.42550659179688,264.6301574707031,435.6909484863281,352.49468994140625
2022-02-16,171.2741241455078,295.9433898925781,137.73800659179688,216.5399932861328,137.4875030517578,264.7899475097656,436.17926025390625,352.4055480957031
2022-02-17,167.6312713623047,287.2775573730469,132.53900146484375,207.7100067138672,132.30850219726562,244.7741241455078,426.86181640625,341.9237365722656
2022-02-18,166.0629425048828,284.5107727050781,130.4029998779297,206.16000366210938,130.46749877929688,236.13458251953125,424.0978698730469,338.02392578125
2022-02-22,163.10499572753906,284.30328369140625,129.81350708007812,202.0800018310547,129.40249633789062,233.61761474609375,419.5466003417969,334.6289367675781
2022-02-23,158.8864288330078,276.9417724609375,127.58799743652344,198.4499969482422,127.58499908447266,223.59971618652344,412.1044006347656,326.05731201171875
2022-02-24,161.5366668701172,291.0917053222656,132.6909942626953,207.60000610351562,132.67349243164062,237.1933135986328,418.3062438964844,337.0143127441406
2022-02-25,163.63107299804688,293.7794189453125,134.45950317382812,210.47999572753906,134.51950073242188,241.2783660888672,427.5357360839844,342.24041748046875
2022-02-28,163.89907836914062,295.2418212890625,135.0570068359375,211.02999877929688,134.89100646972656,243.5556182861328,426.44189453125,343.2599182128906
2022-03-01,161.9932861328125,291.4474792480469,134.06149291992188,203.49000549316406,134.16799926757812,234.48655700683594,419.94708251953125,338.0041198730469
2022-03-02,165.3284149169922,296.625244140625,134.57150268554688,208.11000061035156,134.75149536132812,241.9488067626953,427.6725158691406,343.67559814453125
2022-03-03,165.0008544921875,292.40594482421875,133.89950561523438,202.97000122070312,134.30799865722656,236.89407348632812,425.5433349609375,338.76629638671875
2022-03-04,161.96348571777344,286.4178771972656,131.906494140625,200.05999755859375,132.1219940185547,229.12213134765625,422.0859375,333.8569030761719
2022-03-07,158.12213134765625,275.597900390625,126.37850189208984,187.47000122070312,126.4645004272461,213.29856872558594,409.6431884765625,321.5438537597656
2022-03-08,156.27584838867188,272.5742492675781,127.10449981689453,190.2899932861328,127.27850341796875,214.91688537597656,406.53741455078125,320.0492858886719
2022-03-09,161.74510192871094,285.07403564453125,133.4199981689453,198.5,133.86599731445312,229.90133666992188,417.43701171875,331.5704345703125
2022-03-10,157.34786987304688,282.19854736328125,132.42950439453125,195.2100067138672,132.6820068359375,226.34503173828125,415.5520324707031,327.8884582519531
2022-03-11,153.5858917236328,276.744140625,129.87049865722656,187.61000061035156,130.47549438476562,220.77081298828125,410.2682189941406,321.08856201171875
2022-03-14,149.5062713623047,273.1572570800781,125.95099639892578,186.6300048828125,126.74099731445312,213.0787811279297,407.2699279785156,314.9222106933594
2022-03-15,153.9432373046875,283.74005126953125,129.197998046875,192.02999877929688,129.66050720214844,229.4917449951172,416.2259521484375,324.80029296875
2022-03-16,158.40994262695312,290.8940734863281,133.28050231933594,203.6300048828125,133.6905059814453,244.70596313476562,425.4554748535156,336.8460388183594
2022-03-17,159.4323272705078,291.7142028808594,133.83900451660156,207.83999633789062,134.60049438476562,247.40318298339844,430.77825927734375,340.92401123046875
2022-03-18,162.7675018310547,296.8623352050781,136.12550354003906,216.49000549316406,136.80149841308594,264.2556457519531,435.4964904785156,347.9019775390625
2022-03-21,164.15716552734375,295.607421875,136.10150146484375,211.49000549316406,136.47850036621094,267.0627746582031,435.369140625,346.934814453125
2022-03-22,167.57171630859375,300.44927978515625,139.8679962158203,216.64999389648438,140.27749633789062,264.9649353027344,440.4635925292969,353.75299072265625
2022-03-23,168.95143127441406,295.93353271484375,138.27549743652344,213.4600067138672,138.5034942626953,256.0741882324219,434.7911071777344,348.6690673828125
2022-03-24,172.7829132080078,300.48876953125,141.57200622558594,219.57000732421875,141.31199645996094,281.20806884765625,441.34527587890625,356.4188537597656
2022-03-25,173.4281005859375,300.07379150390625,141.67300415039062,221.82000732421875,141.52149963378906,276.6328125,443.5006408691406,356.1215515136719
2022-03-28,174.3015899658203,307.0104064941406,141.45550537109375,223.58999633789062,141.9499969482422,281.8973388671875,446.6553039550781,361.6315612792969
2022-03-29,177.63674926757812,311.66448974609375,142.5054931640625,229.86000061035156,143.25,286.2628479003906,452.1808166503906,367.85516357421875
2022-03-30,176.45555114746094,310.1328430175781,141.93850708007812,227.85000610351562,142.64450073242188,276.6128234863281,449.388671875,363.7919921875
2022-03-31,173.31890869140625,304.6487731933594,139.0675048828125,222.36000061035156,139.64950561523438,272.5769958496094,442.47198486328125,359.2828674316406
2022-04-01,173.0211181640625,305.74560546875,140.15049743652344,224.85000610351562,140.6999969482422,266.84295654296875,443.7259826660156,358.5990905761719
2022-04-04,177.12057495117188,311.22967529296875,142.97149658203125,233.88999938964844,143.6425018310547,273.3162841796875,447.5271911621094,365.98211669921875
2022-04-05,173.7655792236328,307.1882629394531,140.59100341796875,231.83999633789062,141.06300354003906,259.0411071777344,441.87432861328125,357.8558349609375
2022-04-06,170.55946350097656,295.9433898925781,136.54800415039062,223.3000030517578,137.17599487304688,243.81689453125,437.4559020996094,350.08624267578125
2022-04-07,170.86715698242188,297.79119873046875,135.8885040283203,222.9499969482422,136.46499633789062,241.82894897460938,439.6602478027344,350.9187316894531
2022-04-08,168.83230590820312,293.4434509277344,133.28750610351562,222.3300018310547,134.010498046875,230.95025634765625,438.48455810546875,346.0131530761719
2022-04-11,164.5244140625,281.8725280761719,128.82350158691406,216.4600067138672,129.79649353027344,218.9427032470703,430.9898681640625,337.827392578125
2022-04-12,166.42030334472656,278.71051025390625,127.7145004272461,214.13999938964844,128.37449645996094,214.81698608398438,429.3929748535156,336.40032958984375
2022-04-13,169.14002990722656,284.2044982910156,129.8939971923828,214.99000549316406,130.28599548339844,221.7997589111328,434.31109619140625,343.23834228515625
2022-04-14,164.06781005859375,276.5069885253906,126.7300033569336,210.17999267578125,127.25299835205078,212.3595428466797,428.90313720703125,335.3894958496094
2022-04-18,163.84945678710938,277.18878173828125,127.67649841308594,210.77000427246094,127.96099853515625,217.60411071777344,429.0794677734375,335.64715576171875
2022-04-19,166.16220092773438,281.9120178222656,130.00900268554688,217.30999755859375,130.531005859375,221.74978637695312,436.0059509277344,343.1491394042969
2022-04-20,165.9934844970703,282.9594421386719,128.0399932861328,200.4199981689453,128.24549865722656,214.59722900390625,435.6826477050781,338.1445007324219
2022-04-21,165.18943786621094,277.475341796875,124.81449890136719,188.07000732421875,124.9375,201.62071228027344,429.1676330566406,331.1479187011719
2022-04-22,160.59368896484375,270.7759094238281,119.635498046875,184.11000061035156,119.61399841308594,194.94761657714844,417.3916320800781,322.47650146484375
2022-04-25,161.67564392089844,277.38641357421875,123.0739974975586,186.99000549316406,123.25,198.81361389160156,419.81146240234375,326.61895751953125
2022-04-26,155.64060974121094,267.0111083984375,118.6500015258789,180.9499969482422,119.50599670410156,187.68516540527344,407.65338134765625,314.290771484375
2022-04-27,155.41229248046875,279.85675048828125,114.29450225830078,174.9499969482422,115.02050018310547,183.95899963378906,408.7996520996094,313.9141540527344
2022-04-28,162.43002319335938,286.19061279296875,118.52249908447266,205.72999572753906,119.4114990234375,197.6148681640625,419.12567138671875,325.0631408691406
2022-04-29,156.4842987060547,274.2243957519531,114.1094970703125,200.47000122070312,114.96649932861328,185.27767944335938,403.6365966796875,310.4356994628906
2022-05-02,156.79200744628906,281.0918884277344,116.58300018310547,211.1300048828125,117.15699768066406,195.12744140625,406.0663146972656,315.61871337890625
2022-05-03,158.30076599121094,278.433837890625,117.33399963378906,212.02999877929688,118.12950134277344,195.8167266845703,407.927734375,315.9556579589844
2022-05-04,164.7924346923828,286.53643798828125,122.26100158691406,223.41000366210938,122.57499694824219,203.1291046142578,420.3503112792969,326.6387939453125
2022-05-05,155.61082458496094,274.056396484375,116.50550079345703,208.27999877929688,116.74649810791016,188.2445831298828,405.409912109375,310.18798828125
2022-05-06,156.34642028808594,271.467529296875,115.74649810791016,203.77000427246094,115.66000366210938,186.5563201904297,402.9900207519531,306.4716491699219
2022-05-09,151.15740966796875,261.43804931640625,112.51100158691406,196.2100067138672,113.08399963378906,169.32420349121094,390.08740234375,294.4803466796875
2022-05-10,153.5928497314453,266.2996826171875,114.3949966430664,197.64999389648438,114.58450317382812,175.76751708984375,390.98870849609375,298.05792236328125
2022-05-11,145.6304168701172,257.4559326171875,113.60250091552734,188.74000549316406,113.96099853515625,166.12754821777344,384.77740478515625,289.2180480957031
2022-05-12,141.7137908935547,252.3177032470703,112.84400177001953,191.24000549316406,113.16100311279297,161.58224487304688,384.375732421875,288.5342712402344
2022-05-13,146.23678588867188,258.0191955566406,116.05049896240234,198.6199951171875,116.5155029296875,176.87637329101562,393.5653076171875,299.227294921875
2022-05-16,144.6761016845703,258.3946838378906,114.44499969482422,200.0399932861328,114.7925033569336,172.46096801757812,391.9684143066406,295.7587585449219
2022-05-17,148.35415649414062,263.6514587402344,116.4729995727539,202.6199951171875,116.70149993896484,181.58151245117188,400.0313720703125,303.4193420410156
2022-05-18,139.984130859375,251.6475067138672,111.89949798583984,192.24000549316406,112.4010009765625,169.20436096191406,383.9054870605469,288.52435302734375
2022-05-19,136.53472900390625,250.71652221679688,110.38400268554688,191.2899932861328,110.74549865722656,171.0624237060547,381.5541687011719,286.9783630371094
2022-05-20,136.77328491210938,250.14205932617188,108.90799713134766,193.5399932861328,109.31300354003906,166.76687622070312,381.7207336425781,286.0864562988281
2022-05-23,142.26051330566406,258.15460205078125,111.48799896240234,196.22999572753906,111.66649627685547,168.80474853515625,388.8627624511719,290.8433532714844
2022-05-24,139.52684020996094,257.13446044921875,105.97000122070312,181.27999877929688,105.9260025024414,161.37246704101562,385.8942565917969,284.65936279296875
2022-05-25,139.68589782714844,260.0067443847656,105.80500030517578,183.8300018310547,105.8395004272461,169.57395935058594,389.3036193847656,288.64324951171875
